Temperature,Humidity,CO2,Light Intensity,Harmful
28.99,80.79,0.0,4263.0,1
29.01,80.75,564.07,4279.0,1
29.01,80.73,671.08,4279.0,1
29.02,80.74,625.94,4287.0,1
29.05,80.73,630.03,4294.0,1
29.07,80.68,615.05,4285.0,1
29.09,80.65,610.7,4292.0,1
29.12,80.61,604.1,4309.0,1
29.14,80.56,600.28,4325.0,1
29.15,80.51,598.55,4316.0,1
29.18,80.41,601.92,4307.0,1
29.22,80.33,597.58,4340.0,1
29.26,80.25,598.31,4347.0,1
29.28,80.2,599.05,4338.0,1
29.29,80.13,598.3,4371.0,1
29.29,80.08,596.21,4379.0,1
29.32,80.07,595.12,4386.0,1
29.35,80.01,594.7,4393.0,1
29.38,79.93,591.41,4401.0,1
29.36,79.89,590.84,4392.0,1
29.38,79.86,591.31,4408.0,1
29.42,79.83,591.47,4425.0,1
29.42,79.8,591.58,4416.0,1
29.45,79.69,590.84,4432.0,1
29.48,79.66,590.88,4423.0,1
29.48,79.64,590.22,4439.0,1
29.49,79.58,588.54,4456.0,1
29.5,79.54,589.12,4456.0,1
29.52,79.55,588.54,4456.0,1
29.52,79.47,588.8,4456.0,1
29.55,79.43,588.93,4456.0,1
29.57,79.43,589.45,4456.0,1
29.56,79.37,589.42,4456.0,1
29.57,79.34,590.43,4456.0,1
29.59,79.31,591.22,4456.0,1
29.6,79.29,591.87,4447.0,1
29.6,79.27,591.42,4447.0,1
29.62,79.23,591.61,4463.0,1
29.66,79.14,592.37,4480.0,1
29.67,79.17,593.24,4471.0,1
29.66,79.13,593.29,4487.0,1
29.66,79.1,592.13,4520.0,1
29.67,79.06,591.82,4511.0,1
29.72,79.05,591.49,4527.0,1
29.69,79.06,591.14,4535.0,1
29.7,78.99,590.81,4542.0,1
29.7,78.98,590.57,4575.0,1
29.74,78.91,590.45,4566.0,1
29.74,78.86,590.9,4590.0,1
29.76,78.84,590.99,4614.0,1
29.76,78.83,591.12,4596.0,1
29.74,78.8,590.17,4629.0,1
29.76,78.76,590.3,4636.0,1
29.76,78.74,590.53,4652.0,1
29.77,78.73,590.67,4669.0,1
29.77,78.72,589.89,4676.0,1
29.77,78.69,589.83,4667.0,1
29.79,78.67,589.89,4684.0,1
29.77,78.69,589.35,4691.0,1
29.83,78.65,588.23,4708.0,1
29.82,78.66,588.44,4698.0,1
29.82,78.59,588.13,4706.0,1
29.83,78.58,588.22,4713.0,1
29.83,78.58,587.05,4730.0,1
29.83,78.58,586.77,4737.0,1
29.84,78.58,586.43,4754.0,1
29.83,78.6,586.22,4745.0,1
29.87,78.61,586.25,4761.0,1
29.89,78.59,585.94,4768.0,1
29.84,78.61,585.62,4801.0,1
29.89,78.59,585.19,4809.0,1
29.92,78.56,584.12,4833.0,1
29.89,78.5,583.8,4840.0,1
29.9,78.51,583.51,4847.0,1
29.9,78.47,583.45,4871.0,1
29.89,78.42,583.11,4879.0,1
29.92,78.44,583.48,4902.0,1
29.9,78.39,582.91,4926.0,1
29.92,78.39,582.97,4950.0,1
29.94,78.37,582.75,4948.0,1
29.92,78.36,582.38,4972.0,1
29.93,78.37,582.46,5005.0,1
29.93,78.33,581.6,5013.0,1
29.93,78.32,581.07,5045.0,1
29.96,78.31,580.57,5053.0,1
29.96,78.35,579.91,5069.0,1
29.94,78.31,579.4,5077.0,1
29.94,78.28,579.48,5110.0,1
29.96,78.27,579.22,5117.0,1
29.97,78.26,578.88,5141.0,1
29.97,78.24,578.24,5165.0,1
29.94,78.27,577.66,5170.0,1
29.99,78.21,577.69,5202.0,1
29.97,78.18,577.91,5216.0,1
29.99,78.18,577.38,5240.0,1
29.97,78.16,576.71,5248.0,1
30.0,78.18,576.08,5272.0,1
29.99,78.13,575.69,5304.0,1
29.99,78.15,575.32,5312.0,1
30.0,78.18,574.89,5319.0,1
30.01,78.11,574.8,5343.0,1
30.01,78.14,575.31,5359.0,1
30.0,78.11,575.1,5367.0,1
30.03,78.13,574.83,5374.0,1
30.04,78.1,574.41,5391.0,1
30.03,78.12,574.1,5382.0,1
30.04,78.09,574.08,5415.0,1
30.03,78.05,573.84,5431.0,1
30.04,78.07,574.5,5447.0,1
30.04,78.11,574.46,5438.0,1
30.04,78.04,574.44,5438.0,1
30.05,78.05,574.22,5455.0,1
30.07,78.05,573.41,5471.0,1
30.05,78.07,573.42,5462.0,1
30.05,78.03,573.16,5462.0,1
30.07,77.99,573.29,5479.0,1
30.05,78.02,572.95,5479.0,1
30.07,77.97,573.16,5495.0,1
30.05,77.95,572.9,5470.0,1
30.07,77.95,572.43,5486.0,1
30.07,77.89,572.7,5503.0,1
30.08,77.95,572.42,5503.0,1
30.07,77.92,571.8,5494.0,1
30.1,77.92,572.1,5494.0,1
30.08,77.88,571.35,5494.0,1
30.1,77.88,571.4,5510.0,1
30.1,77.88,570.74,5510.0,1
30.11,77.92,570.96,5510.0,1
30.11,77.89,570.64,5510.0,1
30.1,77.85,570.55,5510.0,1
30.11,77.81,569.38,5535.0,1
30.1,77.79,569.03,5535.0,1
30.13,77.78,568.72,5535.0,1
30.13,77.76,568.42,5535.0,1
30.11,77.81,568.07,5544.0,1
30.11,77.82,567.76,5528.0,1
30.11,77.83,567.99,5537.0,1
30.13,77.83,567.72,5546.0,1
30.14,77.81,567.85,5555.0,1
30.15,77.83,567.96,5539.0,1
30.15,77.81,568.02,5564.0,1
30.17,77.85,568.12,5548.0,1
30.14,77.81,566.83,5557.0,1
30.15,77.84,566.47,5557.0,1
30.14,77.79,566.08,5566.0,1
30.17,77.79,566.29,5566.0,1
30.15,77.8,566.17,5566.0,1
30.17,77.8,566.01,5582.0,1
30.17,77.79,565.78,5582.0,1
30.15,77.81,565.31,5599.0,1
30.17,77.77,564.74,5599.0,1
30.18,77.77,564.56,5590.0,1
30.17,77.74,564.27,5606.0,1
30.2,77.75,564.06,5622.0,1
30.2,77.74,563.31,5639.0,1
30.18,77.71,563.18,5630.0,1
30.17,77.69,563.5,5646.0,1
30.18,77.72,563.26,5663.0,1
30.2,77.68,562.94,5654.0,1
30.2,77.69,562.98,5687.0,1
30.2,77.64,562.77,5678.0,1
30.2,77.68,562.68,5685.0,1
30.2,77.67,561.87,5718.0,1
30.2,77.62,561.8,5716.0,1
30.2,77.64,561.81,5740.0,1
30.2,77.64,561.95,5755.0,1
30.22,77.62,561.88,5753.0,1
30.2,77.59,562.0,5761.0,1
30.24,77.6,561.97,5785.0,1
30.21,77.58,561.49,5808.0,1
30.21,77.6,561.24,5807.0,1
30.21,77.6,561.16,5814.0,1
30.22,77.62,561.2,5847.0,1
30.22,77.63,560.79,5854.0,1
30.22,77.63,560.83,5862.0,1
30.22,77.58,560.75,5869.0,1
30.21,77.56,560.56,5877.0,1
30.22,77.53,560.08,5893.0,1
30.24,77.48,559.89,5900.0,1
30.22,77.44,559.71,5917.0,1
30.24,77.38,559.17,5924.0,1
30.24,77.42,558.7,5932.0,1
30.24,77.43,558.2,5939.0,1
30.25,77.41,558.17,5955.0,1
30.24,77.44,557.17,5947.0,1
30.25,77.43,557.36,5963.0,1
30.25,77.44,557.13,5954.0,1
30.25,77.43,556.74,5970.0,1
30.24,77.4,556.67,5970.0,1
30.27,77.35,555.96,5987.0,1
30.25,77.36,555.61,5987.0,1
30.28,77.24,555.52,5978.0,1
30.25,77.16,554.96,5978.0,1
30.25,77.08,554.89,5994.0,1
30.27,77.05,554.6,5994.0,1
30.27,77.06,554.25,5994.0,1
30.27,77.1,554.11,6003.0,1
30.27,77.18,553.82,6012.0,1
30.28,77.17,553.45,6005.0,1
30.27,77.22,553.52,5988.0,1
30.28,77.28,553.54,6005.0,1
30.28,77.31,553.09,6005.0,1
30.3,77.31,553.02,6005.0,1
30.28,77.3,552.99,6021.0,1
30.28,77.29,552.57,6038.0,1
30.3,77.34,552.24,6029.0,1
30.31,77.32,552.04,6036.0,1
30.3,77.33,551.92,6060.0,1
30.3,77.36,551.18,6051.0,1
30.3,77.37,551.67,6067.0,1
30.28,77.33,551.76,6058.0,1
30.25,77.32,551.44,6082.0,1
30.28,77.29,551.25,6090.0,1
30.28,77.27,551.32,6097.0,1
30.3,77.32,551.19,6113.0,1
